Stock Index,Stock Price
AC3235,788.5956
AC3236,261.0043
AC3237,1534.1826
AC3238,834.42944
AC3239,260.35947
AC3240,379.52252
AC3241,729.8961
AC3242,1115.2202
AC3243,1103.7845
AC3244,1364.2028
AC3245,317.53244
AC3246,391.96472
AC3247,683.1331
AC3248,328.0065
AC3249,414.69952
AC3250,297.36444
AC3251,1800.0237
AC3252,139.08397
AC3253,308.95218
AC3254,197.90335
AC3255,1002.6674
AC3256,861.8591
AC3257,1495.3837
AC3258,508.518
AC3259,261.48785
AC3260,290.61267
AC3261,123.977844
AC3262,236.40251
AC3263,387.98245
AC3264,111.77966
AC3265,1177.143
AC3266,878.99023
AC3267,495.79614
AC3268,762.9296
AC3269,411.6313
AC3270,813.6328
AC3271,85.78703
AC3272,506.79312
AC3273,704.82245
AC3274,715.56616
AC3275,513.99286
AC3276,640.42053
AC3277,721.49603
AC3278,781.8176
AC3279,272.7979
AC3280,393.09506
AC3281,885.28326
AC3282,151.59648
AC3283,799.13995
AC3284,1159.0514
AC3285,101.9618
AC3286,881.43176
AC3287,211.51396
AC3288,198.84177
AC3289,171.35358
AC3290,195.11493
AC3291,208.23643
AC3292,84.24543
AC3293,496.38754
AC3294,189.97263
AC3295,579.4236
AC3296,110.25485
AC3297,627.4168
AC3298,802.6904
AC3299,106.91415
AC3300,79.9614
AC3301,815.7657
AC3302,133.54213
AC3303,1240.2131
AC3304,-13.369254
AC3305,264.59354
AC3306,212.381
AC3307,-9.775655
AC3308,149.46117
AC3309,277.72348
AC3310,802.00903
AC3311,1080.4061
AC3312,861.4589
AC3313,-25.315525
AC3314,68.70834
AC3315,121.42193
AC3316,403.5495
AC3317,966.3699
AC3318,548.65326
AC3319,1184.2286
AC3320,-24.5018
AC3321,117.208115
AC3322,116.68059
AC3323,880.39136
AC3324,73.699646
AC3325,232.19327
AC3326,386.08286
AC3327,79.63246
AC3328,141.78294
AC3329,677.38257
AC3330,884.3418
AC3331,314.40952
AC3332,895.2282
AC3333,1617.1597
AC3334,388.1155
AC3335,734.442
